NPUNID,Core Material,Ligand,Dtem,Zeta Potential,BET,Incubation Concentration (mg/ml),Incubation NP concentration (mg/mL),Dh,Incubation time (h),Incubation Time (minutes),Incubation temperature (℃),Centrifugation
639,Fe3O4,PC,7,-11.5,,33.6,0.02,74.9,3,180,37,1
640,Fe3O4,none,11,-4,,33.6,0.02,25,0.25,15,37,1
641,Fe3O4,none,11,-4,,33.6,0.02,25,1.5,90,37,1
642,Fe3O4,none,11,-4,,33.6,0.02,25,3,180,37,1
643,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
644,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
645,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
646,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
647,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
648,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
649,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
650,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
651,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
652,SWCNT,none,1.45,-13.5,,4.2,1,1.45,8,480,4,1
